Id,R_G1,R_G2,R_G3
DEU_LocationALower-11_10_T-1,0.2039229497251006,0.1139979734761373,0.0763201381686201
DEU_LocationALower-11_11_T-1,0.2161431966081893,0.1008309653483939,0.0047521466077639
DEU_LocationALower-11_12_T-1,0.2482051360920558,0.1073061197259418,0.0306721382769228
DEU_LocationALower-11_13_T-1,-0.0113522954707628,0.0931436186857249,0.0079201454584415
DEU_LocationALower-11_14_T-1,0.15821557182122,0.095869834015688,0.0734401452191148
DEU_LocationALower-11_1_T-1,0.0134384900626123,0.088293258093839,0.0047521400695004
DEU_LocationALower-11_2_T-1,0.1794459307169745,0.1484964300188711,0.0348481433915742
DEU_LocationALower-11_3_T-1,0.1040615005941376,0.0931849310031465,0.1216801389573507
DEU_LocationALower-11_5_T-1,0.1205874426353342,0.1041806532419086,0.0551521424895934
DEU_LocationALower-11_6_T-1,0.2028605656229304,0.1079168065139772,0.0241921471392871
DEU_LocationALower-11_7_T-1,0.4794459809536711,0.0772275070253782,0.0244801472687474
DEU_LocationALower-11_8_T-1,0.0378772306909777,0.1131040627401212,0.0416161457949653
DEU_LocationALower-11_9_T-1,0.8287249997012507,0.1303253159506208,0.0478081383936965
DEU_LocationALower-12_10_T-1,0.0177774156484778,0.102499767872678,0.0115201509200295
DEU_LocationALower-12_11_T-1,0.1796399425237709,0.141917499157795,0.0828001413058724
DEU_LocationALower-12_12_T-1,0.0411813769737082,0.1208090211299639,0.0640801401307468
DEU_LocationALower-12_13_T-1,0.0603619460946839,0.1039146333817696,0.0807841473661807
DEU_LocationALower-12_14_T-1,0.0635340418382924,0.1100815030097724,0.037584144599842
DEU_LocationALower-12_15_T-1,0.0254346196465507,0.0749784019037554,0.1406881454423477
DEU_LocationALower-12_17_T-1,0.0429799209683457,0.1035185079825635,0.1035361427439927
DEU_LocationALower-12_19_T-1,0.0887506191763955,0.0914454615323646,0.0944641395938576
DEU_LocationALower-12_1_T-1,0.376186977889445,0.1109545507144455,0.1003681388367174
DEU_LocationALower-12_20_T-1,0.1154335749045214,0.1158462402360921,0.0298081379738774
DEU_LocationALower-12_21_T-1,0.106979192744818,0.1088076522791564,0.0489601392561309
DEU_LocationALower-12_22_T-1,0.2032330840523591,0.0909320223442229,0.1409761465955384
DEU_LocationALower-12_23_T-1,0.1138116716832782,0.1005699806866605,0.0296641380114425
DEU_LocationALower-12_4_T-1,0.1320733017225131,0.1242500000000003,0.093888144
DEU_LocationALower-12_5_T-1,0.1512029304637057,0.1444916381062354,0.0465121411286825
DEU_LocationALower-12_7_T-1,0.0196573964885573,0.0824524387208279,0.1226881495131749
DEU_LocationALower-12_9_T-1,0.1929313475750212,0.1260428205279636,0.1385281455669317
DEU_LocationALower-13_11_T-1,0.183158931578245,0.1429099710275359,-0.0606238564595805
DEU_LocationALower-13_13_T-1,0.023515748562961,0.0860527571029652,0.0626401406004428
DEU_LocationALower-13_17_T-1,0.0430581707176251,0.1126555454906309,0.0226081471271922
DEU_LocationALower-13_19_T-1,0.1106302537866801,0.1524038672774754,0.1245601430415413
DEU_LocationALower-13_1_T-1,0.3381375357879916,0.1097499999999996,-0.0159838494940771
DEU_LocationALower-13_21_T-1,0.027279478373306,0.09593766335902,1.4400000004570758e-07
DEU_LocationALower-13_22_T-1,0.3314596816411098,0.1203154578383134,0.0361441473391258
DEU_LocationALower-13_23_T-1,0.9729744131888168,0.1230893277120593,0.0865441370479387
DEU_LocationALower-13_26_T-1,0.0264297493403814,0.1155193154040276,-0.0146878623345843
